encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,encoder_block_types,decoder_block_types,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
640,6,2218.666667,4,512,6,1877.333333,4.333333333,4.333333333,2.333333333,self_attention-->lightweight_shiftadd-->lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_conv-->,self_attention+lightweight_conv-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention-->,6.108390063,249.5235624,0.100900735,7.055115996
512,6,2048,4.333333333,512,3,3072,8,4,2.333333333,self_attention-->self_attention-->self_attention+lightweight_conv-->lightweight_conv-->self_attention+lightweight_add-->lightweight_shiftadd-->,lightweight_conv-->lightweight_shiftadd-->lightweight_conv-->,4.841923982,84.73399973,0.007939972,0.380310135
640,6,1792,4.666666667,512,4,1536,5,4,1.75,lightweight_conv-->lightweight_add-->lightweight_add-->lightweight_add-->self_attention+lightweight_conv-->self_attention-->,self_attention+lightweight_conv-->lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->,4.063275933,163.7255497,0.005983909,5.251031584
512,6,2048,4.333333333,512,2,1024,3,3,2,self_attention+lightweight_conv-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_conv-->,lightweight_add-->self_attention-->,5.751818001,63.0019443,0.010472687,3.834546595
512,6,1365.333333,4,512,5,1740.8,4.4,3.6,2,self_attention+lightweight_conv-->self_attention+lightweight_conv-->lightweight_add-->self_attention-->self_attention+lightweight_shiftadd-->self_attention-->,lightweight_shiftadd-->lightweight_add-->self_attention-->lightweight_conv-->lightweight_conv-->,5.492496043,133.4854851,0.044192698,0.505200592
640,6,2218.666667,3.666666667,640,5,1945.6,6.8,4.8,2.2,self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_add-->lightweight_conv-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->,6.410716057,209.7686958,0.380676977,9.492625531
512,6,1194.666667,5.666666667,640,6,1792,4,5.333333333,1.833333333,self_attention-->self_attention+lightweight_add-->self_attention-->lightweight_shiftadd-->lightweight_add-->lightweight_conv-->,lightweight_shiftadd-->lightweight_add-->lightweight_add-->lightweight_conv-->self_attention-->lightweight_conv-->,4.410098016,156.2251501,0.006427085,4.905337626
640,6,1536,5,640,1,512,4,8,2,lightweight_add-->self_attention+lightweight_conv-->self_attention-->self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention-->,lightweight_conv-->,4.900908023,31.14137387,0.011279166,0.052721147
512,6,1792,5.333333333,512,5,1433.6,3.6,4.8,2,self_attention-->lightweight_add-->lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_add-->,lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_conv-->,4.752223969,172.2905025,0.017359583,4.638786821
512,6,1877.333333,3,640,1,512,4,8,2,self_attention+lightweight_conv-->self_attention+lightweight_conv-->lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_add-->self_attention+lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->,5.767678022,56.70863366,0.007670292,4.016983355
640,6,2304,6,640,1,1024,8,2,2,self_attention+lightweight_conv-->lightweight_add-->lightweight_add-->self_attention+lightweight_add-->lightweight_conv-->self_attention+lightweight_shiftadd-->,lightweight_shiftadd-->,5.497157931,37.68862438,0.528663745,0.485614895
640,6,1194.666667,6.666666667,512,1,512,2,8,3,self_attention+lightweight_shiftadd-->self_attention-->lightweight_shiftadd-->self_attention-->lightweight_conv-->lightweight_conv-->,self_attention+lightweight_add-->,4.638941973,47.44049025,0.018398163,0.054064542
640,6,853.3333333,5.333333333,640,3,1024,2,4.666666667,1.333333333,lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention-->lightweight_conv-->,lightweight_shiftadd-->self_attention+lightweight_shiftadd-->lightweight_conv-->,4.987999976,107.2953439,0.018858095,4.511200742
640,6,1450.666667,4,512,3,1877.333333,3.333333333,6,1.333333333,self_attention+lightweight_add-->lightweight_conv-->self_attention+lightweight_conv-->lightweight_add-->lightweight_shiftadd-->self_attention+lightweight_conv-->,lightweight_conv-->lightweight_conv-->lightweight_shiftadd-->,5.076971978,85.34582949,0.005880015,4.83584165
512,6,1536,3.666666667,640,6,1109.333333,6,4.333333333,2,self_attention+lightweight_conv-->lightweight_add-->self_attention+lightweight_add-->lightweight_conv-->lightweight_conv-->self_attention+lightweight_conv-->,self_attention+lightweight_conv-->lightweight_shiftadd-->lightweight_add-->self_attention-->lightweight_add-->self_attention-->,4.871549964,179.325635,0.017452455,4.573517181
640,6,1706.666667,4.666666667,512,5,1843.2,2.8,4.8,2,lightweight_add-->lightweight_conv-->lightweight_add-->self_attention-->lightweight_conv-->lightweight_shiftadd-->,self_attention-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_conv-->lightweight_shiftadd-->,3.834529981,177.6316051,0.006801073,3.990257057
640,6,1877.333333,4.666666667,640,4,1920,3,5.5,2,self_attention-->self_attention-->lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention-->,self_attention+lightweight_add-->self_attention-->self_attention+lightweight_conv-->lightweight_conv-->,5.017023951,138.8635883,0.011990659,5.023962505
512,6,1194.666667,5.333333333,512,2,2048,6,6,1,self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->lightweight_conv-->self_attention-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->,lightweight_conv-->self_attention+lightweight_conv-->,5.923951954,72.60691452,0.017500992,4.422985593
512,6,1621.333333,3.666666667,512,6,1194.666667,6,3.666666667,1.333333333,lightweight_conv-->lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_conv-->lightweight_conv-->lightweight_add-->,lightweight_add-->self_attention-->self_attention-->lightweight_shiftadd-->lightweight_shiftadd-->lightweight_shiftadd-->,4.424287975,170.6418028,0.010858359,4.54075683
512,6,1962.666667,4.666666667,512,3,1194.666667,4.666666667,6,2.666666667,lightweight_shiftadd-->self_attention+lightweight_conv-->lightweight_conv-->self_attention+lightweight_conv-->lightweight_conv-->self_attention+lightweight_conv-->,lightweight_add-->lightweight_add-->lightweight_shiftadd-->,5.101247996,84.20439005,0.004432283,0.111222988
512,6,2048,3.666666667,640,3,1024,6.666666667,6,2,self_attention-->self_attention-->lightweight_shiftadd-->lightweight_shiftadd-->self_attention-->self_attention+lightweight_shiftadd-->,lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->,4.955666035,111.4498582,0.007938293,4.763585579
640,6,1194.666667,5,512,5,1638.4,6.4,3.2,2,self_attention+lightweight_conv-->lightweight_conv-->self_attention+lightweight_add-->lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->,lightweight_conv-->self_attention-->lightweight_add-->lightweight_add-->self_attention+lightweight_shiftadd-->,5.55229795,153.4466829,0.010404815,4.690262267
640,6,1109.333333,4.666666667,512,2,1536,5,3,2.5,lightweight_shiftadd-->self_attention+lightweight_conv-->lightweight_conv-->lightweight_conv-->lightweight_shiftadd-->self_attention-->,self_attention-->lightweight_add-->,4.505421966,59.78547597,0.004578758,0.086644255
512,6,1194.666667,3.666666667,640,6,2304,5.666666667,3.666666667,2.166666667,self_attention+lightweight_conv-->self_attention-->self_attention+lightweight_conv-->lightweight_conv-->lightweight_shiftadd-->self_attention+lightweight_add-->,self_attention-->lightweight_shiftadd-->self_attention-->lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_add-->,5.20766601,200.4318991,0.007933274,6.595400816
640,6,2389.333333,5.333333333,512,1,3072,4,2,1,lightweight_shiftadd-->self_attention-->self_attention+lightweight_shiftadd-->lightweight_add-->lightweight_shiftadd-->lightweight_conv-->,self_attention+lightweight_conv-->,5.41535601,46.73972607,0.464707998,0.150377189
