idx,FLOPs,Energy (mJ),Latency (ms),input,weight,output,computation,DRAM,DRAM-GB,GB,NoC,RF
0,2359296.0,0.1382195712,9.216000000000001e-05,0.026514432000000004,0.0844234752,0.024922368000000004,0.002359296,0.0431616,0.0,0.0027279360000000002,0.0244718592,0.06549888000000001
1,2359296.0,0.1382195712,9.216000000000001e-05,0.026514432000000004,0.0844234752,0.024922368000000004,0.002359296,0.0431616,0.0,0.0027279360000000002,0.0244718592,0.06549888000000001
2,2359296.0,0.1382195712,9.216000000000001e-05,0.026514432000000004,0.0844234752,0.024922368000000004,0.002359296,0.0431616,0.0,0.0027279360000000002,0.0244718592,0.06549888000000001
3,92160.0,0.007476288000000001,5.760000000000001e-06,0.0031272960000000003,0.001804512,0.00245232,9.216e-05,0.003072,0.0,0.00033033600000000003,0.0013977120000000002,0.0025840800000000003
4,92160.0,0.007334208000000001,7.680000000000001e-06,0.00287856,0.001804512,0.002558976,9.216e-05,0.003072,0.0,0.00033033600000000003,0.0012538560000000002,0.002585856
5,2359296.0,0.1380632832,9.216000000000001e-05,0.025746432000000003,0.0844234752,0.025534080000000004,0.002359296,0.0431616,0.0,0.0025574400000000002,0.0244718592,0.06551308800000001
6,2359296.0,0.1382195712,9.216000000000001e-05,0.026514432000000004,0.0844234752,0.024922368000000004,0.002359296,0.0431616,0.0,0.0027279360000000002,0.0244718592,0.06549888000000001
7,4718592.0,0.22329390080000003,0.00018432000000000002,0.05302886400000001,0.11447828480000001,0.05106816000000001,0.004718592,0.0354304,0.0,0.0051148800000000005,0.04700385280000001,0.13102617600000002
8,4718592.0,0.22329390080000003,0.00018432000000000002,0.05302886400000001,0.11447828480000001,0.05106816000000001,0.004718592,0.0354304,0.0,0.0051148800000000005,0.04700385280000001,0.13102617600000002
9,276480.0,0.015778128000000002,8.64e-06,0.004832256,0.0057121920000000005,0.0049572,0.00027648,0.004272,0.0,0.000410256,0.0031071120000000004,0.00771228
10,276480.0,0.015529488000000003,1.5360000000000002e-05,0.00527688,0.0057121920000000005,0.004263936,0.00027648,0.004272,0.0,0.000410256,0.0028700160000000004,0.007700736000000001
11,2359296.0,0.1380632832,9.216000000000001e-05,0.025746432000000003,0.0844234752,0.025534080000000004,0.002359296,0.0431616,0.0,0.0025574400000000002,0.0244718592,0.06551308800000001
12,18874368.0,1.0896285696,0.0007372800000000001,0.195987456,0.6753878016,0.19937894400000003,0.018874368,0.3291648,0.0,0.021823488000000002,0.1957748736,0.5239910400000001
13,18874368.0,1.0916603136,0.0007372800000000001,0.20597145600000002,0.6753878016,0.191426688,0.018874368,0.3291648,0.0,0.024039936,0.1957748736,0.523806336
0,1179648.0,0.0697214976,4.6080000000000006e-05,0.013257216000000002,0.0422117376,0.013072896,0.001179648,0.0223488,0.0,0.0011934720000000001,0.0122359296,0.032763648000000006
1,1179648.0,0.0697214976,4.6080000000000006e-05,0.013257216000000002,0.0422117376,0.013072896,0.001179648,0.0223488,0.0,0.0011934720000000001,0.0122359296,0.032763648000000006
2,1179648.0,0.0697214976,4.6080000000000006e-05,0.013257216000000002,0.0422117376,0.013072896,0.001179648,0.0223488,0.0,0.0011934720000000001,0.0122359296,0.032763648000000006
3,92160.0,0.006290904,2.8800000000000004e-06,0.002843136,0.0021031680000000003,0.00125244,9.216e-05,0.00228,0.0,0.000210456,0.001144188,0.0025641
4,92160.0,0.006219864,3.8400000000000005e-06,0.00146556,0.0021031680000000003,0.002558976,9.216e-05,0.00228,0.0,0.000210456,0.0010513920000000002,0.002585856
5,1179648.0,0.0697996416,4.6080000000000006e-05,0.013641216000000001,0.0422117376,0.012767040000000002,0.001179648,0.0223488,0.0,0.0012787200000000001,0.0122359296,0.032756544000000005
6,106168.31999999999,0.05169399552,3.0720000000000004e-05,0.010358784000000001,0.0316588032,0.009570240000000002,0.00010616832,0.017049599999999998,0.0,0.000767232,0.009198259200000001,0.024572736000000005
7,5529.6,0.0042624256,1.5360000000000002e-06,0.00179136,0.0006954880000000001,0.0017700480000000002,5.5296e-06,0.0023103999999999998,0.0,0.000255744,0.00032678400000000005,0.0013639680000000001
8,106168.31999999999,0.05169399552,3.0720000000000004e-05,0.010358784000000001,0.0316588032,0.009570240000000002,0.00010616832,0.017049599999999998,0.0,0.000767232,0.009198259200000001,0.024572736000000005
9,2359296.0,0.1382195712,9.216000000000001e-05,0.026514432000000004,0.0844234752,0.024922368000000004,0.002359296,0.0431616,0.0,0.0027279360000000002,0.0244718592,0.06549888000000001
10,3145728.0,0.1579240448,0.00012288000000000002,0.035352576000000004,0.0853803008,0.03404544,0.003145728,0.032358399999999995,0.0,0.00340992,0.0316592128,0.08735078400000001
11,3145728.0,0.1579240448,0.00012288000000000002,0.035352576000000004,0.0853803008,0.03404544,0.003145728,0.032358399999999995,0.0,0.00340992,0.0316592128,0.08735078400000001
12,184320.0,0.010591152,5.760000000000001e-06,0.003695616,0.004206336000000001,0.00250488,0.00018432,0.0030239999999999998,0.0,0.000250416,0.002004216,0.0051282
13,184320.0,0.010520112,7.680000000000001e-06,0.002718,0.004206336000000001,0.003411456,0.00018432,0.0030239999999999998,0.0,0.000250416,0.0019180800000000004,0.005143296
14,2359296.0,0.1380632832,9.216000000000001e-05,0.025746432000000003,0.0844234752,0.025534080000000004,0.002359296,0.0431616,0.0,0.0025574400000000002,0.0244718592,0.06551308800000001
15,14155776.0,0.8183964672,0.0004915200000000001,0.15191654400000001,0.5065408512,0.145783296,0.014155776,0.2497536,0.0,0.014321664,0.14717214720000002,0.39299328
16,14155776.0,0.8209089792,0.0004915200000000001,0.15243264,0.5065408512,0.147779712,0.014155776,0.2474496,0.0,0.019948032,0.14649016320000002,0.392865408
