idx,FLOPs,Energy (mJ),Latency (ms),input,weight,output,computation,DRAM,DRAM-GB,GB,NoC,RF
0,7864320.000000001,0.10205900799999999,0.24576000000000003,0.01339392,0.068681728,0.012119040000000001,0.007864320000000001,0.058572799999999994,0.0,0.0027648,0.009248768000000001,0.023608320000000002
1,7864320.000000001,0.10205900799999999,0.24576000000000003,0.01339392,0.068681728,0.012119040000000001,0.007864320000000001,0.058572799999999994,0.0,0.0027648,0.009248768000000001,0.023608320000000002
2,7864320.000000001,0.10205900799999999,0.24576000000000003,0.01339392,0.068681728,0.012119040000000001,0.007864320000000001,0.058572799999999994,0.0,0.0027648,0.009248768000000001,0.023608320000000002
3,1966080.0000000002,0.020067328000000002,0.06144000000000001,0.0056524800000000005,0.007241728,0.0052070400000000005,0.0019660800000000003,0.0094208,0.0,0.00055296,0.0022138880000000002,0.005913600000000001
4,460800.00000000006,0.0073463999999999995,0.011520000000000002,0.0013176,0.0016972800000000002,0.00387072,0.00046080000000000003,0.00456,0.0,0.00039024,0.0005376000000000001,0.00139776
5,7864320.000000001,0.10205900799999999,0.24576000000000003,0.01339392,0.068681728,0.012119040000000001,0.007864320000000001,0.058572799999999994,0.0,0.0027648,0.009248768000000001,0.023608320000000002
6,47185920.00000001,0.600066048,1.4745600000000003,0.06807552,0.412090368,0.07271424,0.047185920000000006,0.3391488,0.0,0.0165888,0.055492608000000006,0.14164992
7,47185920.00000001,0.597838848,1.4745600000000003,0.08036352000000001,0.412090368,0.05819904000000001,0.047185920000000006,0.3360768,0.0,0.0175104,0.055492608000000006,0.14157312000000002
8,7864320.000000001,0.10205900799999999,0.24576000000000003,0.01339392,0.068681728,0.012119040000000001,0.007864320000000001,0.058572799999999994,0.0,0.0027648,0.009248768000000001,0.023608320000000002
9,7864320.000000001,0.10205900799999999,0.24576000000000003,0.01339392,0.068681728,0.012119040000000001,0.007864320000000001,0.058572799999999994,0.0,0.0027648,0.009248768000000001,0.023608320000000002
10,7864320.000000001,0.10205900799999999,0.24576000000000003,0.01339392,0.068681728,0.012119040000000001,0.007864320000000001,0.058572799999999994,0.0,0.0027648,0.009248768000000001,0.023608320000000002
11,1966080.0000000002,0.020067328000000002,0.06144000000000001,0.0056524800000000005,0.007241728,0.0052070400000000005,0.0019660800000000003,0.0094208,0.0,0.00055296,0.0022138880000000002,0.005913600000000001
12,460800.00000000006,0.0073463999999999995,0.011520000000000002,0.0013176,0.0016972800000000002,0.00387072,0.00046080000000000003,0.00456,0.0,0.00039024,0.0005376000000000001,0.00139776
13,7864320.000000001,0.10205900799999999,0.24576000000000003,0.01339392,0.068681728,0.012119040000000001,0.007864320000000001,0.058572799999999994,0.0,0.0027648,0.009248768000000001,0.023608320000000002
14,47185920.00000001,0.600066048,1.4745600000000003,0.06807552,0.412090368,0.07271424,0.047185920000000006,0.3391488,0.0,0.0165888,0.055492608000000006,0.14164992
15,47185920.00000001,0.597838848,1.4745600000000003,0.08036352000000001,0.412090368,0.05819904000000001,0.047185920000000006,0.3360768,0.0,0.0175104,0.055492608000000006,0.14157312000000002
16,7864320.000000001,0.10205900799999999,0.24576000000000003,0.01339392,0.068681728,0.012119040000000001,0.007864320000000001,0.058572799999999994,0.0,0.0027648,0.009248768000000001,0.023608320000000002
17,7864320.000000001,0.10205900799999999,0.24576000000000003,0.01339392,0.068681728,0.012119040000000001,0.007864320000000001,0.058572799999999994,0.0,0.0027648,0.009248768000000001,0.023608320000000002
18,7864320.000000001,0.10205900799999999,0.24576000000000003,0.01339392,0.068681728,0.012119040000000001,0.007864320000000001,0.058572799999999994,0.0,0.0027648,0.009248768000000001,0.023608320000000002
19,1966080.0000000002,0.020067328000000002,0.06144000000000001,0.0056524800000000005,0.007241728,0.0052070400000000005,0.0019660800000000003,0.0094208,0.0,0.00055296,0.0022138880000000002,0.005913600000000001
20,460800.00000000006,0.0073463999999999995,0.011520000000000002,0.0013176,0.0016972800000000002,0.00387072,0.00046080000000000003,0.00456,0.0,0.00039024,0.0005376000000000001,0.00139776
21,7864320.000000001,0.10205900799999999,0.24576000000000003,0.01339392,0.068681728,0.012119040000000001,0.007864320000000001,0.058572799999999994,0.0,0.0027648,0.009248768000000001,0.023608320000000002
