idx,FLOPs,Energy (mJ),Latency (ms),input,weight,output,computation,DRAM,DRAM-GB,GB,NoC,RF
0,21823488.000000004,0.3086075904,0.00018432000000000002,0.061894656000000006,0.1688469504,0.05604249600000001,0.021823488000000002,0.0893952,0.0,0.015003648,0.051330662400000004,0.13105459200000003
1,21823488.000000004,0.3086075904,0.00018432000000000002,0.061894656000000006,0.1688469504,0.05604249600000001,0.021823488000000002,0.0893952,0.0,0.015003648,0.051330662400000004,0.13105459200000003
2,21823488.000000004,0.3086075904,0.00018432000000000002,0.061894656000000006,0.1688469504,0.05604249600000001,0.021823488000000002,0.0893952,0.0,0.015003648,0.051330662400000004,0.13105459200000003
3,1704960.0,0.025951152,1.4400000000000001e-05,0.010690560000000002,0.008412672000000001,0.00514296,0.00170496,0.00912,0.0,0.001001664,0.0038681280000000006,0.0102564
4,1704960.0,0.025949376,1.5360000000000002e-05,0.00559584,0.008412672000000001,0.010235904,0.00170496,0.00912,0.0,0.001001664,0.0037793280000000006,0.010343424
5,21823488.000000004,0.30892016640000003,0.00018432000000000002,0.063430656,0.1688469504,0.05481907200000001,0.021823488000000002,0.0893952,0.0,0.01534464,0.051330662400000004,0.13102617600000002
6,16367616.000000002,0.23243719680000002,0.00012288000000000002,0.045527040000000005,0.1266352128,0.04390732800000001,0.016367616,0.06819839999999999,0.0,0.011252736,0.038327500800000004,0.09829094400000002
7,170496.00000000003,0.011957440000000001,1.5360000000000002e-06,0.005630976,0.0006954880000000001,0.00546048,0.00017049600000000002,0.0092224,0.0,0.001022976,0.00043334400000000006,0.001108224
8,16367616.000000002,0.23243719680000002,0.00012288000000000002,0.045527040000000005,0.1266352128,0.04390732800000001,0.016367616,0.06819839999999999,0.0,0.011252736,0.038327500800000004,0.09829094400000002
9,43646976.00000001,0.6123214848,0.00036864000000000005,0.12378931200000001,0.3376939008,0.107191296,0.043646976000000004,0.1726464,0.0,0.031371264,0.10266132480000001,0.26199552000000004
10,87293952.00000001,1.0120620032,0.0007372800000000001,0.24757862400000002,0.45791313920000004,0.21927628800000004,0.08729395200000001,0.1417216,0.0,0.06137856,0.19756318720000005,0.5241047040000001
11,87293952.00000001,1.0120620032,0.0007372800000000001,0.24757862400000002,0.45791313920000004,0.21927628800000004,0.08729395200000001,0.1417216,0.0,0.06137856,0.19756318720000005,0.5241047040000001
12,5114880.000000001,0.06755102400000002,3.456e-05,0.020011008000000004,0.025238016000000002,0.017187120000000004,0.0051148800000000005,0.015071999999999999,0.0,0.004241088,0.012353856000000002,0.030769200000000003
13,5114880.000000001,0.066014784,4.6080000000000006e-05,0.01678752,0.025238016000000002,0.018874368000000002,0.0051148800000000005,0.015071999999999999,0.0,0.0036869760000000002,0.011337984,0.030802944000000006
14,43646976.00000001,0.6116963328,0.00036864000000000005,0.12071731200000001,0.3376939008,0.10963814400000002,0.043646976000000004,0.1726464,0.0,0.03068928,0.10266132480000001,0.26205235200000004
15,261881856.00000003,3.6343369728000003,0.0019660800000000003,0.6731366400000001,2.0261634048,0.673155072,0.261881856,0.9990144,0.0,0.188227584,0.6132400128000001,1.57197312
16,261881856.00000003,3.6307473408,0.0019660800000000003,0.6915686400000001,2.0261634048,0.6511334400000001,0.261881856,0.9897984,0.0,0.19436544,0.6132400128000001,1.571461632
0,21823488.000000004,0.3086075904,0.00018432000000000002,0.061894656000000006,0.1688469504,0.05604249600000001,0.021823488000000002,0.0893952,0.0,0.015003648,0.051330662400000004,0.13105459200000003
1,21823488.000000004,0.3086075904,0.00018432000000000002,0.061894656000000006,0.1688469504,0.05604249600000001,0.021823488000000002,0.0893952,0.0,0.015003648,0.051330662400000004,0.13105459200000003
2,21823488.000000004,0.3086075904,0.00018432000000000002,0.061894656000000006,0.1688469504,0.05604249600000001,0.021823488000000002,0.0893952,0.0,0.015003648,0.051330662400000004,0.13105459200000003
3,1704960.0,0.026621376,1.4400000000000001e-05,0.010690560000000002,0.007616256000000001,0.006609600000000001,0.00170496,0.009792,0.0,0.001001664,0.0038397120000000008,0.01028304
4,1704960.0,0.02659296,1.5360000000000002e-05,0.00703584,0.007616256000000001,0.010235904,0.00170496,0.009792,0.0,0.001001664,0.0037509120000000003,0.010343424
5,21823488.000000004,0.30892016640000003,0.00018432000000000002,0.063430656,0.1688469504,0.05481907200000001,0.021823488000000002,0.0893952,0.0,0.01534464,0.051330662400000004,0.13102617600000002
6,16367616.000000002,0.23243719680000002,0.00012288000000000002,0.045527040000000005,0.1266352128,0.04390732800000001,0.016367616,0.06819839999999999,0.0,0.011252736,0.038327500800000004,0.09829094400000002
7,1363968.0000000002,0.024555264,9.216000000000001e-06,0.008188416,0.0058767360000000005,0.009126144000000001,0.0013639680000000001,0.009523199999999999,0.0,0.001022976,0.0017333760000000002,0.010911744000000001
8,16367616.000000002,0.23243719680000002,0.00012288000000000002,0.045527040000000005,0.1266352128,0.04390732800000001,0.016367616,0.06819839999999999,0.0,0.011252736,0.038327500800000004,0.09829094400000002
9,43646976.00000001,0.6123214848,0.00036864000000000005,0.12378931200000001,0.3376939008,0.107191296,0.043646976000000004,0.1726464,0.0,0.031371264,0.10266132480000001,0.26199552000000004
10,58195968.0,0.7109537792,0.0004915200000000001,0.16505241600000004,0.3415212032,0.14618419200000002,0.058195968,0.12943359999999998,0.0,0.040919040000000004,0.1330020352,0.34940313600000006
11,58195968.0,0.7109537792,0.0004915200000000001,0.16505241600000004,0.3415212032,0.14618419200000002,0.058195968,0.12943359999999998,0.0,0.040919040000000004,0.1330020352,0.34940313600000006
12,3409920.0,0.046475808,2.3040000000000003e-05,0.014782464,0.016825344000000002,0.011458079999999999,0.00340992,0.012095999999999999,0.0,0.002600064,0.007857024,0.0205128
13,3409920.0,0.046571712,2.3040000000000003e-05,0.010872,0.016825344000000002,0.015464448,0.00340992,0.012095999999999999,0.0,0.003047616,0.007444992000000001,0.020573184
14,43646976.00000001,0.6116963328,0.00036864000000000005,0.12071731200000001,0.3376939008,0.10963814400000002,0.043646976000000004,0.1726464,0.0,0.03068928,0.10266132480000001,0.26205235200000004
15,261881856.00000003,3.6343369728000003,0.0019660800000000003,0.6731366400000001,2.0261634048,0.673155072,0.261881856,0.9990144,0.0,0.188227584,0.6132400128000001,1.57197312
16,261881856.00000003,3.6307473408,0.0019660800000000003,0.6915686400000001,2.0261634048,0.6511334400000001,0.261881856,0.9897984,0.0,0.19436544,0.6132400128000001,1.571461632
0,21823488.000000004,0.3086075904,0.00018432000000000002,0.061894656000000006,0.1688469504,0.05604249600000001,0.021823488000000002,0.0893952,0.0,0.015003648,0.051330662400000004,0.13105459200000003
1,21823488.000000004,0.3086075904,0.00018432000000000002,0.061894656000000006,0.1688469504,0.05604249600000001,0.021823488000000002,0.0893952,0.0,0.015003648,0.051330662400000004,0.13105459200000003
2,21823488.000000004,0.3086075904,0.00018432000000000002,0.061894656000000006,0.1688469504,0.05604249600000001,0.021823488000000002,0.0893952,0.0,0.015003648,0.051330662400000004,0.13105459200000003
3,1704960.0,0.026621376,1.4400000000000001e-05,0.010690560000000002,0.007616256000000001,0.006609600000000001,0.00170496,0.009792,0.0,0.001001664,0.0038397120000000008,0.01028304
4,1704960.0,0.02659296,1.5360000000000002e-05,0.00703584,0.007616256000000001,0.010235904,0.00170496,0.009792,0.0,0.001001664,0.0037509120000000003,0.010343424
5,21823488.000000004,0.30892016640000003,0.00018432000000000002,0.063430656,0.1688469504,0.05481907200000001,0.021823488000000002,0.0893952,0.0,0.01534464,0.051330662400000004,0.13102617600000002
6,16367616.000000002,0.23243719680000002,0.00012288000000000002,0.045527040000000005,0.1266352128,0.04390732800000001,0.016367616,0.06819839999999999,0.0,0.011252736,0.038327500800000004,0.09829094400000002
7,3068928.0,0.043785216,2.3040000000000003e-05,0.011768832,0.013683456000000002,0.015264000000000002,0.003068928,0.010367999999999999,0.0,0.001022976,0.0027279360000000002,0.026597376000000002
8,16367616.000000002,0.23243719680000002,0.00012288000000000002,0.045527040000000005,0.1266352128,0.04390732800000001,0.016367616,0.06819839999999999,0.0,0.011252736,0.038327500800000004,0.09829094400000002
9,43646976.00000001,0.6123214848,0.00036864000000000005,0.12378931200000001,0.3376939008,0.107191296,0.043646976000000004,0.1726464,0.0,0.031371264,0.10266132480000001,0.26199552000000004
10,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
11,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
12,1704960.0,0.026621376,1.4400000000000001e-05,0.010690560000000002,0.007616256000000001,0.006609600000000001,0.00170496,0.009792,0.0,0.001001664,0.0038397120000000008,0.01028304
13,1704960.0,0.02659296,1.5360000000000002e-05,0.00703584,0.007616256000000001,0.010235904,0.00170496,0.009792,0.0,0.001001664,0.0037509120000000003,0.010343424
14,43646976.00000001,0.6116963328,0.00036864000000000005,0.12071731200000001,0.3376939008,0.10963814400000002,0.043646976000000004,0.1726464,0.0,0.03068928,0.10266132480000001,0.26205235200000004
15,261881856.00000003,3.6343369728000003,0.0019660800000000003,0.6731366400000001,2.0261634048,0.673155072,0.261881856,0.9990144,0.0,0.188227584,0.6132400128000001,1.57197312
16,261881856.00000003,3.6307473408,0.0019660800000000003,0.6915686400000001,2.0261634048,0.6511334400000001,0.261881856,0.9897984,0.0,0.19436544,0.6132400128000001,1.571461632
0,21823488.000000004,0.3086075904,0.00018432000000000002,0.061894656000000006,0.1688469504,0.05604249600000001,0.021823488000000002,0.0893952,0.0,0.015003648,0.051330662400000004,0.13105459200000003
1,21823488.000000004,0.3086075904,0.00018432000000000002,0.061894656000000006,0.1688469504,0.05604249600000001,0.021823488000000002,0.0893952,0.0,0.015003648,0.051330662400000004,0.13105459200000003
2,21823488.000000004,0.3086075904,0.00018432000000000002,0.061894656000000006,0.1688469504,0.05604249600000001,0.021823488000000002,0.0893952,0.0,0.015003648,0.051330662400000004,0.13105459200000003
3,1704960.0,0.026621376,1.4400000000000001e-05,0.010690560000000002,0.007616256000000001,0.006609600000000001,0.00170496,0.009792,0.0,0.001001664,0.0038397120000000008,0.01028304
4,1704960.0,0.02659296,1.5360000000000002e-05,0.00703584,0.007616256000000001,0.010235904,0.00170496,0.009792,0.0,0.001001664,0.0037509120000000003,0.010343424
5,21823488.000000004,0.30892016640000003,0.00018432000000000002,0.063430656,0.1688469504,0.05481907200000001,0.021823488000000002,0.0893952,0.0,0.01534464,0.051330662400000004,0.13102617600000002
6,16367616.000000002,0.23243719680000002,0.00012288000000000002,0.045527040000000005,0.1266352128,0.04390732800000001,0.016367616,0.06819839999999999,0.0,0.011252736,0.038327500800000004,0.09829094400000002
7,8524800.0,0.105490688,6.144000000000001e-05,0.023021568000000003,0.0360896,0.03785472,0.0085248,0.010496,0.0,0.001534464,0.003097344,0.08183808000000001
8,16367616.000000002,0.23243719680000002,0.00012288000000000002,0.045527040000000005,0.1266352128,0.04390732800000001,0.016367616,0.06819839999999999,0.0,0.011252736,0.038327500800000004,0.09829094400000002
9,43646976.00000001,0.6123214848,0.00036864000000000005,0.12378931200000001,0.3376939008,0.107191296,0.043646976000000004,0.1726464,0.0,0.031371264,0.10266132480000001,0.26199552000000004
10,87293952.00000001,1.0120620032,0.0007372800000000001,0.24757862400000002,0.45791313920000004,0.21927628800000004,0.08729395200000001,0.1417216,0.0,0.06137856,0.19756318720000005,0.5241047040000001
11,87293952.00000001,1.0120620032,0.0007372800000000001,0.24757862400000002,0.45791313920000004,0.21927628800000004,0.08729395200000001,0.1417216,0.0,0.06137856,0.19756318720000005,0.5241047040000001
12,5114880.000000001,0.06860265600000001,3.456e-05,0.020011008000000004,0.022848768000000002,0.020628000000000004,0.0051148800000000005,0.017088,0.0,0.003282048,0.012268608000000002,0.03084912
13,5114880.000000001,0.067945536,4.6080000000000006e-05,0.02110752,0.022848768000000002,0.018874368000000002,0.0051148800000000005,0.017088,0.0,0.0036869760000000002,0.011252736000000001,0.030802944000000006
