encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,encoder_block_types,decoder_block_types,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
512,6,2730.6666666666665,6.0,1024,6,1706.6666666666667,12.0,10.666666666666666,1.8333333333333333,self_attention+lightweight_shiftadd-->lightweight_shiftadd-->lightweight_conv-->self_attention-->lightweight_add-->lightweight_conv-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_conv-->self_attention-->self_attention-->self_attention+lightweight_add-->,8.440960109233856,241.2878713607788,0.028676327224330653,0.5610382502482555
1024,6,1194.6666666666667,10.666666666666666,1024,2,3072.0,8.0,12.0,1.0,lightweight_conv-->lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->lightweight_conv-->,self_attention-->self_attention+lightweight_conv-->,5.445631951093674,78.75795316696167,0.025918053591550107,0.1983392083411786
512,6,3072.0,9.333333333333334,512,5,2252.8,10.4,7.2,2.2,self_attention+lightweight_add-->self_attention+lightweight_conv-->self_attention-->lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->,self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_add-->,5.990656018257141,222.8398094177246,0.0483907737620284,0.4841117106810529
768,6,3584.0,14.666666666666666,768,1,2048.0,4.0,8.0,2.0,self_attention+lightweight_shiftadd-->lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->,self_attention+lightweight_conv-->,6.431167960166931,50.34611201286316,0.00816771629630975,0.18157793528750044
512,6,3072.0,8.0,512,1,3072.0,8.0,16.0,2.0,self_attention+lightweight_add-->self_attention-->lightweight_add-->lightweight_shiftadd-->lightweight_shiftadd-->lightweight_shiftadd-->,self_attention+lightweight_add-->,5.001727998256683,50.13491177558899,0.014193639041552237,0.08265362515145747
768,6,2218.6666666666665,6.666666666666667,1024,1,1024.0,4.0,8.0,1.0,lightweight_shiftadd-->self_attention+lightweight_conv-->lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->,self_attention+lightweight_shiftadd-->,5.949504047632217,55.19731163978577,0.006337945979067877,0.10768198368308621
768,6,2389.3333333333335,12.666666666666666,1024,3,2389.3333333333335,9.333333333333334,16.0,1.3333333333333333,self_attention+lightweight_conv-->self_attention-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_add-->,self_attention-->self_attention+lightweight_conv-->self_attention+lightweight_add-->,6.308735966682434,120.93440055847168,0.005028013514274635,0.12996607653767217
1024,6,1706.6666666666667,8.666666666666666,1024,1,1024.0,4.0,4.0,1.0,self_attention-->lightweight_add-->lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_conv-->,self_attention+lightweight_shiftadd-->,5.357056051492691,55.219839572906494,0.009065440164788734,0.1284493275798249
768,6,2218.6666666666665,12.666666666666666,1024,4,2048.0,9.0,5.0,2.0,self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->self_attention-->,self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->,6.5697280168533325,177.10342502593994,0.008555901678893627,0.24063122388711833
512,6,2389.3333333333335,11.333333333333334,512,2,2560.0,6.0,12.0,2.5,lightweight_add-->lightweight_shiftadd-->lightweight_conv-->lightweight_add-->self_attention+lightweight_conv-->lightweight_conv-->,self_attention+lightweight_add-->self_attention+lightweight_add-->,4.442047983407974,91.91059398651123,0.007502720432862274,0.07241767802299154
1024,6,2048.0,8.0,1024,6,2389.3333333333335,10.666666666666666,11.333333333333334,2.1666666666666665,self_attention+lightweight_conv-->lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->lightweight_conv-->,self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention-->self_attention+lightweight_shiftadd-->self_attention-->,5.927871972322464,251.13753700256348,0.009990394170701362,0.3699884467511228
1024,6,2048.0,6.666666666666667,512,2,1024.0,10.0,12.0,2.0,self_attention+lightweight_conv-->lightweight_conv-->lightweight_shiftadd-->self_attention+lightweight_conv-->lightweight_add-->lightweight_add-->,self_attention+lightweight_conv-->self_attention+lightweight_conv-->,4.998591989278793,92.22182416915894,0.025463819008330994,0.3055280609626501
1024,6,2730.6666666666665,9.333333333333334,512,6,2048.0,9.333333333333334,12.666666666666666,2.1666666666666665,self_attention+lightweight_shiftadd-->lightweight_conv-->lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->,self_attention-->self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_add-->,6.158592015504837,254.36768054962158,0.0075812218653277495,0.7148334640680497
768,6,3072.0,8.666666666666666,512,3,2389.3333333333335,9.333333333333334,13.333333333333334,1.6666666666666667,self_attention-->lightweight_shiftadd-->lightweight_shiftadd-->self_attention-->self_attention+lightweight_shiftadd-->self_attention-->,self_attention-->self_attention-->self_attention+lightweight_shiftadd-->,5.363840043544769,115.84774398803711,0.017739432523050453,0.2928970822080485
512,6,2389.3333333333335,8.0,512,6,2560.0,10.0,10.666666666666666,2.5,self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->lightweight_shiftadd-->self_attention+lightweight_conv-->,self_attention-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_conv-->,6.36697593331337,251.18707180023193,0.024373823859499762,0.27167730074067964
768,6,2389.3333333333335,9.333333333333334,768,2,2048.0,4.0,16.0,1.0,self_attention+lightweight_add-->self_attention+lightweight_conv-->lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->,self_attention+lightweight_shiftadd-->self_attention-->,6.492607921361923,84.153151512146,0.006404839377692133,0.18173377410840527
