idx,FLOPs,Energy (mJ),Latency (ms),input,weight,output,computation,DRAM,DRAM-GB,GB,NoC,RF
0,11796480.000000002,0.151636992,0.3686400000000001,0.020090880000000002,0.103022592,0.01672704,0.011796480000000002,0.0863232,0.0,0.00423936,0.013873152000000001,0.0354048
1,11796480.000000002,0.151636992,0.3686400000000001,0.020090880000000002,0.103022592,0.01672704,0.011796480000000002,0.0863232,0.0,0.00423936,0.013873152000000001,0.0354048
2,11796480.000000002,0.151636992,0.3686400000000001,0.020090880000000002,0.103022592,0.01672704,0.011796480000000002,0.0863232,0.0,0.00423936,0.013873152000000001,0.0354048
3,460800.00000000006,0.008782080000000001,0.011520000000000002,0.00377856,0.00111552,0.0034271999999999996,0.00046080000000000003,0.006144,0.0,0.00017856,0.00060192,0.0013968000000000001
4,460800.00000000006,0.00874368,0.015360000000000002,0.0035424,0.00111552,0.00362496,0.00046080000000000003,0.006144,0.0,0.00017856,0.00056256,0.00139776
5,11796480.000000002,0.151552512,0.3686400000000001,0.018554880000000003,0.103022592,0.01817856,0.011796480000000002,0.0863232,0.0,0.0041472,0.013873152000000001,0.03541248
6,11796480.000000002,0.151636992,0.3686400000000001,0.020090880000000002,0.103022592,0.01672704,0.011796480000000002,0.0863232,0.0,0.00423936,0.013873152000000001,0.0354048
7,23592960.000000004,0.200270848,0.7372800000000002,0.040181760000000004,0.100139008,0.03635712,0.023592960000000003,0.0708608,0.0,0.0082944,0.026697728000000004,0.07082496
8,23592960.000000004,0.200270848,0.7372800000000002,0.040181760000000004,0.100139008,0.03635712,0.023592960000000003,0.0708608,0.0,0.0082944,0.026697728000000004,0.07082496
9,1382400.0,0.01619664,0.03456000000000001,0.00494592,0.00392832,0.005940000000000001,0.0013824,0.008544,0.0,0.00044352,0.00165792,0.0041688
10,1382400.0,0.01661856,0.038400000000000004,0.006177599999999999,0.00392832,0.00513024,0.0013824,0.008544,0.0,0.00086688,0.0016627200000000001,0.00416256
11,11796480.000000002,0.151552512,0.3686400000000001,0.018554880000000003,0.103022592,0.01817856,0.011796480000000002,0.0863232,0.0,0.0041472,0.013873152000000001,0.03541248
12,47185920.00000001,0.592723968,1.4745600000000003,0.06653952,0.412090368,0.06690816,0.047185920000000006,0.3314688,0.0,0.01695744,0.055492608000000006,0.1416192
13,47185920.00000001,0.5931463680000001,1.4745600000000003,0.07421952000000001,0.412090368,0.059650560000000005,0.047185920000000006,0.3314688,0.0,0.01741824,0.055492608000000006,0.1415808
0,5898240.000000001,0.077270016,0.18432000000000004,0.010045440000000001,0.051511296,0.009815040000000002,0.005898240000000001,0.0446976,0.0,0.00202752,0.006936576000000001,0.017710080000000003
1,5898240.000000001,0.077270016,0.18432000000000004,0.010045440000000001,0.051511296,0.009815040000000002,0.005898240000000001,0.0446976,0.0,0.00202752,0.006936576000000001,0.017710080000000003
2,5898240.000000001,0.077270016,0.18432000000000004,0.010045440000000001,0.051511296,0.009815040000000002,0.005898240000000001,0.0446976,0.0,0.00202752,0.006936576000000001,0.017710080000000003
3,460800.00000000006,0.00723624,0.011520000000000002,0.00377856,0.0016972800000000002,0.0012996,0.00046080000000000003,0.00456,0.0,0.00022176,0.00060768,0.001386
4,460800.00000000006,0.0073463999999999995,0.011520000000000002,0.0013176,0.0016972800000000002,0.00387072,0.00046080000000000003,0.00456,0.0,0.00039024,0.0005376000000000001,0.00139776
5,5898240.000000001,0.077312256,0.18432000000000004,0.01081344,0.051511296,0.00908928,0.005898240000000001,0.0446976,0.0,0.0020736,0.006936576000000001,0.01770624
6,4423680.0,0.05850547199999999,0.12288000000000002,0.0078336,0.038633472,0.00761472,0.00442368,0.034099199999999996,0.0,0.00152064,0.0051793920000000005,0.01328256
7,184320.00000000003,0.00588288,0.004608000000000001,0.0026496000000000002,0.0004108800000000001,0.00263808,0.00018432000000000002,0.0046464,0.0,0.00013824,0.00017664,0.0007372800000000001
8,4423680.0,0.05850547199999999,0.12288000000000002,0.0078336,0.038633472,0.00761472,0.00442368,0.034099199999999996,0.0,0.00152064,0.0051793920000000005,0.01328256
9,11796480.000000002,0.151636992,0.3686400000000001,0.020090880000000002,0.103022592,0.01672704,0.011796480000000002,0.0863232,0.0,0.00423936,0.013873152000000001,0.0354048
10,15728640.000000002,0.151164928,0.49152000000000007,0.02678784,0.084410368,0.024238080000000002,0.015728640000000002,0.06471679999999999,0.0,0.0055296,0.017973248,0.047216640000000004
11,15728640.000000002,0.151164928,0.49152000000000007,0.02678784,0.084410368,0.024238080000000002,0.015728640000000002,0.06471679999999999,0.0,0.0055296,0.017973248,0.047216640000000004
12,921600.0000000001,0.01115472,0.023040000000000005,0.00423936,0.0033945600000000005,0.0025992,0.0009216000000000001,0.0060479999999999996,0.0,0.00035136,0.0010617600000000001,0.002772
13,921600.0000000001,0.01116768,0.023040000000000005,0.0025199999999999997,0.0033945600000000005,0.00433152,0.0009216000000000001,0.0060479999999999996,0.0,0.00041184,0.0010060800000000001,0.0027801600000000003
14,11796480.000000002,0.151552512,0.3686400000000001,0.018554880000000003,0.103022592,0.01817856,0.011796480000000002,0.0863232,0.0,0.0041472,0.013873152000000001,0.03541248
15,47185920.00000001,0.592723968,1.4745600000000003,0.06653952,0.412090368,0.06690816,0.047185920000000006,0.3314688,0.0,0.01695744,0.055492608000000006,0.1416192
16,47185920.00000001,0.5931463680000001,1.4745600000000003,0.07421952000000001,0.412090368,0.059650560000000005,0.047185920000000006,0.3314688,0.0,0.01741824,0.055492608000000006,0.1415808
0,5898240.000000001,0.077270016,0.18432000000000004,0.010045440000000001,0.051511296,0.009815040000000002,0.005898240000000001,0.0446976,0.0,0.00202752,0.006936576000000001,0.017710080000000003
1,5898240.000000001,0.077270016,0.18432000000000004,0.010045440000000001,0.051511296,0.009815040000000002,0.005898240000000001,0.0446976,0.0,0.00202752,0.006936576000000001,0.017710080000000003
2,5898240.000000001,0.077270016,0.18432000000000004,0.010045440000000001,0.051511296,0.009815040000000002,0.005898240000000001,0.0446976,0.0,0.00202752,0.006936576000000001,0.017710080000000003
3,460800.00000000006,0.00723624,0.011520000000000002,0.00377856,0.0016972800000000002,0.0012996,0.00046080000000000003,0.00456,0.0,0.00022176,0.00060768,0.001386
4,460800.00000000006,0.0073463999999999995,0.011520000000000002,0.0013176,0.0016972800000000002,0.00387072,0.00046080000000000003,0.00456,0.0,0.00039024,0.0005376000000000001,0.00139776
5,5898240.000000001,0.077312256,0.18432000000000004,0.01081344,0.051511296,0.00908928,0.005898240000000001,0.0446976,0.0,0.0020736,0.006936576000000001,0.01770624
6,4423680.0,0.05850547199999999,0.12288000000000002,0.0078336,0.038633472,0.00761472,0.00442368,0.034099199999999996,0.0,0.00152064,0.0051793920000000005,0.01328256
7,414720.00000000006,0.007375680000000002,0.011520000000000002,0.00292608,0.0009820800000000002,0.0030528,0.00041472000000000004,0.004752,0.0,0.00013824,0.00027360000000000004,0.0017971200000000001
8,4423680.0,0.05850547199999999,0.12288000000000002,0.0078336,0.038633472,0.00761472,0.00442368,0.034099199999999996,0.0,0.00152064,0.0051793920000000005,0.01328256
9,11796480.000000002,0.151636992,0.3686400000000001,0.020090880000000002,0.103022592,0.01672704,0.011796480000000002,0.0863232,0.0,0.00423936,0.013873152000000001,0.0354048
10,15728640.000000002,0.151164928,0.49152000000000007,0.02678784,0.084410368,0.024238080000000002,0.015728640000000002,0.06471679999999999,0.0,0.0055296,0.017973248,0.047216640000000004
11,15728640.000000002,0.151164928,0.49152000000000007,0.02678784,0.084410368,0.024238080000000002,0.015728640000000002,0.06471679999999999,0.0,0.0055296,0.017973248,0.047216640000000004
12,921600.0000000001,0.01115472,0.023040000000000005,0.00423936,0.0033945600000000005,0.0025992,0.0009216000000000001,0.0060479999999999996,0.0,0.00035136,0.0010617600000000001,0.002772
13,921600.0000000001,0.01116768,0.023040000000000005,0.0025199999999999997,0.0033945600000000005,0.00433152,0.0009216000000000001,0.0060479999999999996,0.0,0.00041184,0.0010060800000000001,0.0027801600000000003
14,11796480.000000002,0.151552512,0.3686400000000001,0.018554880000000003,0.103022592,0.01817856,0.011796480000000002,0.0863232,0.0,0.0041472,0.013873152000000001,0.03541248
15,70778880.0,0.891021312,1.9660800000000003,0.0976896,0.618135552,0.10441728,0.07077888,0.4995072,0.0,0.02543616,0.08287027200000001,0.21242880000000003
16,70778880.0,0.8871736319999999,1.9660800000000003,0.1069056,0.618135552,0.09135360000000001,0.07077888,0.4948992,0.0,0.0262656,0.08287027200000001,0.21235968
0,5898240.000000001,0.077270016,0.18432000000000004,0.010045440000000001,0.051511296,0.009815040000000002,0.005898240000000001,0.0446976,0.0,0.00202752,0.006936576000000001,0.017710080000000003
1,5898240.000000001,0.077270016,0.18432000000000004,0.010045440000000001,0.051511296,0.009815040000000002,0.005898240000000001,0.0446976,0.0,0.00202752,0.006936576000000001,0.017710080000000003
2,5898240.000000001,0.077270016,0.18432000000000004,0.010045440000000001,0.051511296,0.009815040000000002,0.005898240000000001,0.0446976,0.0,0.00202752,0.006936576000000001,0.017710080000000003
3,460800.00000000006,0.00723624,0.011520000000000002,0.00377856,0.0016972800000000002,0.0012996,0.00046080000000000003,0.00456,0.0,0.00022176,0.00060768,0.001386
4,460800.00000000006,0.0073463999999999995,0.011520000000000002,0.0013176,0.0016972800000000002,0.00387072,0.00046080000000000003,0.00456,0.0,0.00039024,0.0005376000000000001,0.00139776
5,5898240.000000001,0.077312256,0.18432000000000004,0.01081344,0.051511296,0.00908928,0.005898240000000001,0.0446976,0.0,0.0020736,0.006936576000000001,0.01770624
6,4423680.0,0.05850547199999999,0.12288000000000002,0.0078336,0.038633472,0.00761472,0.00442368,0.034099199999999996,0.0,0.00152064,0.0051793920000000005,0.01328256
7,1152000.0,0.011773120000000002,0.030720000000000004,0.0036403200000000007,0.002488,0.0044928,0.001152,0.004768,0.0,0.00020736,0.00034656,0.0052992000000000004
8,4423680.0,0.05850547199999999,0.12288000000000002,0.0078336,0.038633472,0.00761472,0.00442368,0.034099199999999996,0.0,0.00152064,0.0051793920000000005,0.01328256
9,11796480.000000002,0.151636992,0.3686400000000001,0.020090880000000002,0.103022592,0.01672704,0.011796480000000002,0.0863232,0.0,0.00423936,0.013873152000000001,0.0354048
10,15728640.000000002,0.151164928,0.49152000000000007,0.02678784,0.084410368,0.024238080000000002,0.015728640000000002,0.06471679999999999,0.0,0.0055296,0.017973248,0.047216640000000004
11,15728640.000000002,0.151164928,0.49152000000000007,0.02678784,0.084410368,0.024238080000000002,0.015728640000000002,0.06471679999999999,0.0,0.0055296,0.017973248,0.047216640000000004
12,921600.0000000001,0.01115472,0.023040000000000005,0.00423936,0.0033945600000000005,0.0025992,0.0009216000000000001,0.0060479999999999996,0.0,0.00035136,0.0010617600000000001,0.002772
13,921600.0000000001,0.01116768,0.023040000000000005,0.0025199999999999997,0.0033945600000000005,0.00433152,0.0009216000000000001,0.0060479999999999996,0.0,0.00041184,0.0010060800000000001,0.0027801600000000003
